Image Name,Raw Output (All Detected Words),Number Plates,Confidence Score
number_plate\444R104022602036_np.jpg,TS07 UM 2364,TS07 UM 2364,98.22%
number_plate\444R104022602038_np.jpg,SY2UD3371,None detected,N/A
number_plate\444R104022602039_np.jpg,TS08FW3131,TS08FW3131,60.23%
number_plate\444R104022602040_np.jpg,HR55A | F2258,HR55A F2258,99.43%
number_plate\444R104022602041_np.jpg,a UP82A | T5923,None detected,N/A
number_plate\444R104022602042_np.jpg,MC | TG 18 T 0732,TG 18 T 0732,90.51%
number_plate\444R104022602043_np.jpg,UK 08C | B1795 | B | a,UK 08C B1795,87.95%
number_plate\444R104022602045_np.jpg,NL01A | J0044,NL01A J0044,81.64%
number_plate\444R104022602047_np.jpg,AP39EK0030,AP39EK0030,75.76%
number_plate\444R104022602048_np.jpg,AP03 AP 6749,AP03 AP 6749,99.95%
number_plate\444R104022602049_np.jpg,1 | B. | NL01A | il | 62213,None detected,N/A
number_plate\444R104022602051_np.jpg,TS10EY4558,TS10EY4558,99.83%
number_plate\444R104022602052_np.jpg,TS13EB4370,TS13EB4370,90.9%
number_plate\444R104022602053_np.jpg,IND TG 05 U 0294,TG 05 U 0294,92.91%
number_plate\444R104022602054_np.jpg,TS08FM 1206,TS08FM 1206,98.32%
number_plate\444R104022602055_np.jpg,TS11EU7963,TS11EU7963,92.58%
number_plate\444R104022602057_np.jpg,of 1 E | - - - - | TG10 T/R,None detected,N/A
number_plate\444R104022602058_np.jpg,TS080X994,None detected,N/A
number_plate\444R104022602059_np.jpg,TS 16 | Z0258,TS 16 Z0258,98.81%
number_plate\444R104022602060_np.jpg,TN.52 L.0083,TN52 L0083,99.55%
number_plate\444R104022602062_np.jpg,AP 28 DQ 2169-,AP 28 DQ 2169,82.29%
number_plate\444R104022602063_np.jpg,TS08EA 8099,TS08EA 8099,93.14%
number_plate\444R104022602064_np.jpg,TS08JZ6328,TS08JZ6328,94.74%
number_plate\444R104022602065_np.jpg,"""TG 10D0272",None detected,N/A
number_plate\444R104022602066_np.jpg,TG 010 10 A 9999,None detected,N/A
number_plate\444R104022602069_np.jpg,"ND | ""TS08JX4983",TS08JX4983,65.19%
number_plate\444R104022602070_np.jpg,NO | TS08GV6100,TS08GV6100,83.23%
number_plate\444R104022602071_np.jpg,MC | TS11UB1136,TS11UB1136,99.52%
number_plate\444R104022602072_np.jpg,-TSO8KA267-7,None detected,N/A
number_plate\444R104022602073_np.jpg,NL01 | AK 0921,NL01 AK 0921,94.95%
number_plate\444R104022602076_np.jpg,TS 12 UD 2638,TS 12 UD 2638,89.18%
number_plate\444R104022602077_np.jpg,TG16 A 5138,None detected,N/A
number_plate\444R104022602078_np.jpg,8 | = | AP15AZ5454,AP15AZ5454,84.59%
number_plate\444R104022602079_np.jpg,TN52 | AB 1029,TN52 AB 1029,99.25%
number_plate\444R104022602080_np.jpg,TN52 | TND | AB 1029,TN52 AB 1029,96.19%
number_plate\444R104022602081_np.jpg,TS07 JB 1680,TS07 JB 1680,90.08%
